City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,constitucion,-35.3333,-72.4167,11.04,83,11,6.26,CL,1696978534
1,puerto ayora,-0.7393,-90.3518,29.98,91,47,4.02,EC,1696978534
2,port-aux-francais,-49.35,70.2167,1.09,67,99,16.13,TF,1696978534
3,wailua homesteads,22.0669,-159.378,28.24,74,40,4.12,US,1696978534
4,college,64.8569,-147.8028,-1.03,86,100,3.6,US,1696978535
5,grafton,42.207,-71.6856,14.07,82,75,2.06,US,1696978522
6,hawaiian paradise park,19.5933,-154.9731,27.15,78,100,2.57,US,1696978535
7,lihue,21.9789,-159.3672,28.58,67,40,4.12,US,1696978535
8,karyes,37.3,22.5,16.22,65,2,1.9,GR,1696978536
9,pathein,16.7833,94.7333,23.25,97,97,2.06,MM,1696978536
10,kalaoa,19.7286,-155.9817,26.29,74,20,5.14,US,1696978238
11,punta arenas,-53.15,-70.9167,5.06,75,0,11.83,CL,1696978378
12,waitangi,-43.9535,-176.5597,11.01,66,81,3.13,NZ,1696978536
13,vila velha,-20.3297,-40.2925,22.97,91,100,3.58,BR,1696978520
14,wamba,8.9333,8.6,24.01,90,27,0.66,NG,1696978537
15,aldinga beach,-35.2793,138.4604,26.81,45,1,7.33,AU,1696978529
16,bodaybo,57.8506,114.1933,10.27,81,100,2.24,RU,1696978537
17,quintanar del rey,39.3382,-1.9389,17.12,61,14,3.0,ES,1696978537
18,harstad,68.799,16.5293,3.97,83,100,12.07,NO,1696978537
19,udachny,66.4167,112.4,8.03,81,100,10.42,RU,1696978537
20,tambacounda,13.7539,-13.7586,25.03,88,20,2.06,SN,1696978538
21,west island,-12.1568,96.8225,24.99,78,100,6.69,CC,1696978538
22,conceicao da barra,-18.5933,-39.7322,24.19,85,2,2.43,BR,1696978538
23,adamstown,-25.066,-130.1015,20.35,66,97,5.98,PN,1696978538
24,lompoc,34.6391,-120.4579,25.99,71,20,10.8,US,1696978404
25,mosjoen,65.836,13.1908,8.06,93,100,2.24,NO,1696978539
26,papatowai,-46.5619,169.4708,10.68,47,83,6.68,NZ,1696978539
27,presidencia de la plaza,-27.0015,-59.8424,29.94,37,5,4.59,AR,1696978539
28,kodiak,57.79,-152.4072,6.04,48,1,1.66,US,1696978297
29,uturoa,-16.7333,-151.4333,26.43,80,62,4.67,PF,1696978540
30,sweet home,44.3976,-122.7362,17.62,67,58,0.89,US,1696978540
31,grytviken,-54.2811,-36.5092,0.98,99,100,3.6,GS,1696978540
32,margaret river,-33.95,115.0667,13.36,59,62,5.87,AU,1696978540
33,albany,42.6001,-73.9662,13.03,72,100,1.36,US,1696978260
34,blackmans bay,-43.0167,147.3167,14.29,60,69,0.38,AU,1696978540
35,ola,59.5833,151.2833,-0.88,66,98,1.83,RU,1696978541
